company,industry,funding_million,employees,age_years,revenue_million,growth_rate,status
OpenAI,AI,11300,7000,11,2000,80,success
Stripe,Fintech,2200,7000,16,14000,30,success
Airbnb,Travel,6400,6800,18,9900,20,success
Uber,Transport,25000,30000,17,37000,15,success
Databricks,AI,4000,7000,13,1500,50,success
Canva,Design,560,4000,12,2000,40,success
SpaceX,Aerospace,9000,13000,22,9000,45,success
Notion,Productivity,350,500,10,200,35,success
Figma,Design,330,1400,12,600,50,success
Discord,Social,1000,1000,9,600,25,success
Quibi,Media,1750,200,3,0,5,failed
Theranos,Healthcare,1400,800,19,0,-10,failed
Juicero,Hardware,120,100,4,0,-20,failed
Jawbone,Hardware,900,450,18,0,-15,failed
FTX,Finance,1800,300,4,0,-80,failed
Beepi,Automotive,150,300,4,0,-20,failed
Homejoy,Services,40,200,5,0,-10,failed
YikYak,Social,73,50,4,0,-30,failed
